No.,Ticker,IPO Date
1,PMI,8/29/2025
2,ELOG,8/28/2025
3,TGHL,8/28/2025
4,THH,8/28/2025
5,APAD,8/27/2025
6,KOYNU,8/27/2025
7,MBVIU,8/27/2025
8,CURX,8/26/2025
9,CCII,8/22/2025
10,EVAC,8/22/2025
11,VNME,8/22/2025
12,CEPF,8/21/2025
13,ETS,8/21/2025
14,BCAR,8/20/2025
15,YMT,8/19/2025
16,FIGX,8/18/2025
17,LWAC,8/15/2025
18,NUTR,8/15/2025
19,OBA,8/15/2025
20,PACH,8/15/2025
21,BUUU,8/14/2025
22,MIAX,8/14/2025
23,RYOJ,8/14/2025
24,BLSH,8/13/2025
25,NSRX,8/13/2025
26,HVMCU,8/12/2025
27,MAGH,8/12/2025
28,MKLYU,8/12/2025
29,DKI,8/8/2025
30,EFTY,8/8/2025
31,HTFL,8/8/2025
32,SSEAU,8/8/2025
33,BSAA,8/7/2025
34,CFND,8/7/2025
35,FLY,8/7/2025
36,WYFI,8/7/2025
37,CTW,8/6/2025
38,QUMSU,8/6/2025
39,BACC,8/4/2025
40,RUBI,8/4/2025
41,AVBC,8/1/2025
42,AXIN,8/1/2025
43,HCMAU,8/1/2025
44,BLUW,7/31/2025
45,FIG,7/31/2025
46,SI,7/31/2025
47,AMBQ,7/30/2025
48,APADU,7/30/2025
49,INAC,7/30/2025
50,YMAT,7/30/2025
51,GTERA,7/25/2025
52,STRC,7/25/2025
53,YORK,7/25/2025
54,ARX,7/24/2025
55,LHAI,7/24/2025
56,MH,7/24/2025
57,CARL,7/23/2025
58,CRE,7/23/2025
59,TDIC,7/23/2025
60,JENA,7/21/2025
61,KCHV,7/21/2025
62,WTG,7/21/2025
63,MJID,7/18/2025
64,LAWR,7/17/2025
65,PAII-U,7/17/2025
66,SOCAU,7/17/2025
67,AUGO,7/16/2025
68,KMRK,7/16/2025
69,MGRT,7/16/2025
70,SPEGU,7/15/2025
71,BMHL,7/11/2025
72,GLIBA,7/11/2025
73,GLIBK,7/11/2025
74,OYSE,7/11/2025
75,PCAP,7/11/2025
76,DLXY,7/9/2025
77,GTERU,7/9/2025
78,ANPA,7/8/2025
79,MAMK,7/8/2025
80,MSGY,7/8/2025
81,TLIH,7/8/2025
82,CCCX,7/7/2025
83,WENN,7/7/2025
84,CV,7/2/2025
85,EMPG,7/2/2025
86,GRAN,7/2/2025
87,ONCHU,7/2/2025
88,ORIQU,7/2/2025
89,TVAI,7/2/2025
90,AEBI,7/1/2025
91,NMPAU,7/1/2025
92,EGHA,6/30/2025
93,WW,6/30/2025
94,CAEP,6/26/2025
95,JCAP,6/26/2025
96,JLHL,6/26/2025
97,FMFC,6/25/2025
98,RAL,6/25/2025
99,AACI,6/24/2025
100,CGCT,6/24/2025
101,HCHL,6/24/2025
102,AMRZ,6/23/2025
103,CRAQ,6/23/2025
104,GTEN,6/23/2025
105,LCCC,6/23/2025
106,RDAG,6/23/2025
107,CHPG,6/20/2025
108,PMTR,6/20/2025
109,CAI,6/18/2025
110,EGG,6/18/2025
111,SLDE,6/18/2025
112,MENS,6/17/2025
113,IPCX,6/16/2025
114,NPAC,6/16/2025
115,AIRO,6/13/2025
116,JBS,6/13/2025
117,CHYM,6/12/2025
118,IPOD,6/12/2025
119,OTF,6/12/2025
120,PELI,6/12/2025
121,VNTG,6/12/2025
122,ASIC,6/11/2025
123,VOYG,6/11/2025
124,BRR,6/9/2025
125,JEM,6/9/2025
126,RTAC,6/9/2025
127,SDHI,6/9/2025
128,TGE,6/9/2025
129,OMDA,6/6/2025
130,CRCL,6/5/2025
131,TACO,6/5/2025
