No.,Ticker,IPO Date
1,CCHH,10/3/2025
2,CBK,10/2/2025
3,HVMC,10/2/2025
4,MKLY,10/2/2025
5,SSEA,10/2/2025
6,AGRZ,10/1/2025
7,FRMI,10/1/2025
8,KRSP-U,10/1/2025
9,NP,10/1/2025
10,YCY-U,10/1/2025
11,APACU,9/30/2025
12,BCSS-U,9/30/2025
13,BDCIU,9/30/2025
14,QUMS,9/30/2025
15,SVAC,9/30/2025
16,KNRX,9/29/2025
17,AEXA,9/26/2025
18,FCRS-U,9/26/2025
19,MGN,9/26/2025
20,DMIIU,9/25/2025
21,EMISU,9/25/2025
22,HCMA,9/22/2025
23,BRBI,9/19/2025
24,KOYN,9/19/2025
25,LATAU,9/19/2025
26,PLTS,9/19/2025
27,PTRN,9/19/2025
28,NTSK,9/18/2025
29,STUB,9/17/2025
30,WBI,9/17/2025
31,CHECU,9/16/2025
32,CHOW,9/16/2025
33,MLCI,9/15/2025
34,BRCB,9/12/2025
35,FOFO,9/12/2025
36,GEMI,9/12/2025
37,LGN,9/12/2025
38,ONCH,9/12/2025
39,OTGAU,9/12/2025
40,VIA,9/12/2025
41,FIGR,9/11/2025
42,LBRX,9/11/2025
43,BLZRU,9/10/2025
44,KLAR,9/10/2025
45,PAII,9/10/2025
46,ORIQ,9/9/2025
47,SPEG,9/9/2025
48,TLNCU,9/9/2025
49,ZGM,9/9/2025
50,SOCA,9/5/2025
51,FCHL,9/4/2025
52,GSRFU,9/4/2025
53,SVACU,9/4/2025
54,NMP,9/3/2025
55,ELVR,9/2/2025
56,PMI,8/29/2025
57,ELOG,8/28/2025
58,TGHL,8/28/2025
59,THH,8/28/2025
60,APAD,8/27/2025
61,KOYNU,8/27/2025
62,MBVIU,8/27/2025
63,CURX,8/26/2025
64,CCII,8/22/2025
65,EVAC,8/22/2025
66,VNME,8/22/2025
67,CEPF,8/21/2025
68,ETS,8/21/2025
69,BCAR,8/20/2025
70,YMT,8/19/2025
71,FIGX,8/18/2025
72,LWAC,8/15/2025
73,NUTR,8/15/2025
74,OBA,8/15/2025
75,PACH,8/15/2025
76,BUUU,8/14/2025
77,MIAX,8/14/2025
78,RYOJ,8/14/2025
79,BLSH,8/13/2025
80,NSRX,8/13/2025
81,HVMCU,8/12/2025
82,MAGH,8/12/2025
83,MKLYU,8/12/2025
84,DKI,8/8/2025
85,EFTY,8/8/2025
86,HTFL,8/8/2025
87,SSEAU,8/8/2025
88,BSAA,8/7/2025
89,CFND,8/7/2025
90,FLY,8/7/2025
91,WYFI,8/7/2025
92,CTW,8/6/2025
93,QUMSU,8/6/2025
94,BACC,8/4/2025
95,RUBI,8/4/2025
96,AVBC,8/1/2025
97,AXIN,8/1/2025
98,HCMAU,8/1/2025
99,BLUW,7/31/2025
100,FIG,7/31/2025
101,SI,7/31/2025
102,AMBQ,7/30/2025
103,APADU,7/30/2025
104,INAC,7/30/2025
105,YMAT,7/30/2025
106,GTERA,7/25/2025
107,MCGA,7/25/2025
108,STRC,7/25/2025
109,ARX,7/24/2025
110,LHAI,7/24/2025
111,MH,7/24/2025
112,CARL,7/23/2025
113,CRE,7/23/2025
114,TDIC,7/23/2025
115,JENA,7/21/2025
116,KCHV,7/21/2025
117,WTG,7/21/2025
118,PASW,7/18/2025
119,LAWR,7/17/2025
120,PAII-U,7/17/2025
121,SOCAU,7/17/2025
122,AUGO,7/16/2025
123,KMRK,7/16/2025
124,MGRT,7/16/2025
125,SPEGU,7/15/2025
126,BMHL,7/11/2025
127,GLIBA,7/11/2025
128,GLIBK,7/11/2025
129,OYSE,7/11/2025
130,PCAP,7/11/2025
131,DLXY,7/9/2025
132,GTERU,7/9/2025
133,ANPA,7/8/2025
134,MAMK,7/8/2025
135,MSGY,7/8/2025
136,TLIH,7/8/2025
137,CCCX,7/7/2025
138,WENN,7/7/2025
139,CV,7/2/2025
140,EMPG,7/2/2025
141,GRAN,7/2/2025
142,ONCHU,7/2/2025
143,ORIQU,7/2/2025
144,TVAI,7/2/2025
145,AEBI,7/1/2025
146,NMPAU,7/1/2025
147,EGHA,6/30/2025
148,WW,6/30/2025
149,CAEP,6/26/2025
150,JCAP,6/26/2025
151,JLHL,6/26/2025
152,FMFC,6/25/2025
153,RAL,6/25/2025
154,AACI,6/24/2025
155,CGCT,6/24/2025
156,HCHL,6/24/2025
157,AMRZ,6/23/2025
158,CRAQ,6/23/2025
159,GTEN,6/23/2025
160,LCCC,6/23/2025
161,RDAG,6/23/2025
162,CHPG,6/20/2025
163,PMTR,6/20/2025
164,CAI,6/18/2025
165,EGG,6/18/2025
166,SLDE,6/18/2025
167,MENS,6/17/2025
168,IPCX,6/16/2025
169,NPAC,6/16/2025
170,AIRO,6/13/2025
171,JBS,6/13/2025
172,CHYM,6/12/2025
173,IPOD,6/12/2025
174,OTF,6/12/2025
175,PELI,6/12/2025
176,VNTG,6/12/2025
177,ASIC,6/11/2025
178,VOYG,6/11/2025
179,BRR,6/9/2025
180,JEM,6/9/2025
181,RTAC,6/9/2025
182,SDHI,6/9/2025
183,TGE,6/9/2025
184,OMDA,6/6/2025
185,CRCL,6/5/2025
186,TACO,6/5/2025
187,COPL,6/2/2025
188,DAAQ,6/2/2025
189,RAAQ,6/2/2025
190,TACH,6/2/2025
191,PTNM,5/30/2025
192,UYSC,5/27/2025
193,FTRK,5/23/2025
194,SOUL,5/23/2025
195,SZZL,5/23/2025
196,HNGE,5/22/2025
197,MNTN,5/22/2025
198,OFAL,5/21/2025
199,CHAC,5/19/2025
200,TVA,5/16/2025
201,ARAI,5/15/2025
202,ANTA,5/14/2025
203,ETOR,5/14/2025
204,OMSE,5/13/2025
205,GSHR,5/12/2025
206,QSEA,5/12/2025
207,APUS,5/9/2025
208,AHL,5/8/2025
209,AII,5/8/2025
210,STRZ,5/7/2025
211,CEPT,5/2/2025
212,SDM,5/2/2025
213,WSBK,5/2/2025
214,CMDB,5/1/2025
215,YB,4/30/2025
216,PHOE,4/25/2025
217,CIGL,4/22/2025
218,PFAI,4/22/2025
219,FERA,4/21/2025
220,LOKV,4/21/2025
221,RAC,4/21/2025
222,TMDE,4/21/2025
223,CHA,4/17/2025
224,EDHL,4/17/2025
225,NHIC,4/17/2025
226,HXHX,4/15/2025
227,RBNE,4/11/2025
228,ATHR,4/10/2025
229,CUPR,4/10/2025
230,IOTR,4/10/2025
231,MB,4/10/2025
232,FATN,4/8/2025
233,RYET,4/8/2025
