No.,Ticker,IPO Date
1,AEAQU,12/4/2025
2,HYNE,12/4/2025
3,NWAX-U,12/4/2025
4,RGNT,12/4/2025
5,SAC-U,12/4/2025
6,SMJF,12/4/2025
7,DMII,12/3/2025
8,EVOX,12/3/2025
9,GPACU,12/3/2025
10,PARK,12/3/2025
11,PURR,12/3/2025
12,SBXE-U,12/3/2025
13,BIXIU,12/2/2025
14,LAFA,11/26/2025
15,SCIIU,11/26/2025
16,IGACU,11/25/2025
17,AIIA,11/24/2025
18,RNGT,11/24/2025
19,APAC,11/21/2025
20,HCACU,11/21/2025
21,KRSP,11/21/2025
22,BCSS,11/20/2025
23,CBC,11/20/2025
24,VACI,11/20/2025
25,ALIS,11/19/2025
26,DNMX,11/19/2025
27,GLOO,11/19/2025
28,DYOR,11/18/2025
29,APXT,11/17/2025
30,FCRS,11/17/2025
31,WSHP,11/14/2025
32,ALUB-U,11/13/2025
33,CABR,11/13/2025
34,OTH,11/13/2025
35,POAS,11/13/2025
36,BPACU,11/12/2025
37,CHEC,11/11/2025
38,EVOXU,11/11/2025
39,LATA,11/10/2025
40,CRACU,11/7/2025
41,TDWDU,11/7/2025
42,AERO,11/6/2025
43,BLLN,11/6/2025
44,EVMN,11/6/2025
45,LKSP,11/6/2025
46,SUNC,11/6/2025
47,ELWT,11/5/2025
48,MEHA,11/5/2025
49,XZO,11/5/2025
50,BETA,11/4/2025
51,CEPV,11/4/2025
52,WSTNU,11/4/2025
53,OTGA,11/3/2025
54,Q,11/3/2025
55,BGSI,10/31/2025
56,BLZR,10/31/2025
57,NOMA,10/31/2025
58,NAVN,10/30/2025
59,YCY,10/29/2025
60,GIW,10/27/2025
61,MPLT,10/27/2025
62,HAVAU,10/23/2025
63,MMTXU,10/23/2025
64,AGCC,10/22/2025
65,EMIS,10/22/2025
66,NPT,10/22/2025
67,AHMA,10/21/2025
68,BGIN,10/21/2025
69,GSRF,10/20/2025
70,SOLS,10/20/2025
71,ACCL,10/17/2025
72,MBVI,10/17/2025
73,BDCI,10/16/2025
74,OWLS,10/16/2025
75,SEV,10/16/2025
76,SLGB,10/15/2025
77,TCGL,10/15/2025
78,RPGL,10/14/2025
79,NKLR,10/10/2025
