No.,Ticker,IPO Date
1,OIMAU,1/14/2026
2,GCDT,1/13/2026
3,CRAN,1/12/2026
4,AKTS,1/9/2026
5,TWLV,1/9/2026
6,ZKPU,1/9/2026
7,BBCQU,1/8/2026
8,BUDA,1/8/2026
9,SORNU,1/7/2026
10,ALUB,1/6/2026
11,ARTCU,1/6/2026
12,BIII-U,1/6/2026
13,BPAC,1/6/2026
14,VSNT,1/5/2026
15,WSTN,12/31/2025
16,SCPQU,12/23/2025
17,SVAQU,12/23/2025
18,IGAC,12/22/2025
19,BEBE-U,12/19/2025
20,ADACU,12/18/2025
21,FJET,12/18/2025
22,LPCVU,12/18/2025
23,VHCPU,12/18/2025
24,ANDG,12/17/2025
25,BIXI,12/17/2025
26,CCXIU,12/17/2025
27,IRHOU,12/17/2025
28,MDLN,12/17/2025
29,CRANU,12/16/2025
30,VSNTV,12/16/2025
31,CMCSV,12/15/2025
32,HAVA,12/15/2025
33,MMTX,12/15/2025
34,ITHAU,12/12/2025
35,WLTH,12/12/2025
36,BLRKU,12/11/2025
37,KBONU,12/11/2025
38,LMRI,12/11/2025
39,CDNL,12/10/2025
40,JMG,12/10/2025
41,MESHU,12/10/2025
42,CRAC,12/9/2025
43,DSACU,12/9/2025
44,MICC,12/8/2025
45,TDWD,12/8/2025
46,LFACU,12/5/2025
47,AEAQU,12/4/2025
48,HYNE,12/4/2025
49,NWAX-U,12/4/2025
50,RGNT,12/4/2025
51,SAC-U,12/4/2025
52,SMJF,12/4/2025
53,DMII,12/3/2025
54,EVOX,12/3/2025
55,GPACU,12/3/2025
56,PARK,12/3/2025
57,PURR,12/3/2025
58,SBXE-U,12/3/2025
59,LAFA,11/26/2025
60,SCIIU,11/26/2025
61,AIIA,11/24/2025
62,RNGT,11/24/2025
63,APAC,11/21/2025
64,HCACU,11/21/2025
65,KRSP,11/21/2025
66,BCSS,11/20/2025
67,CBC,11/20/2025
68,VACI,11/20/2025
69,ALIS,11/19/2025
70,DNMX,11/19/2025
71,GLOO,11/19/2025
72,DYOR,11/18/2025
73,APXT,11/17/2025
74,FCRS,11/17/2025
75,WSHP,11/14/2025
76,ALUB-U,11/13/2025
77,CABR,11/13/2025
78,OTH,11/13/2025
79,POAS,11/13/2025
80,CHEC,11/11/2025
81,LATA,11/10/2025
82,AERO,11/6/2025
83,BLLN,11/6/2025
84,EVMN,11/6/2025
85,LKSP,11/6/2025
86,SUNC,11/6/2025
87,ELWT,11/5/2025
88,MEHA,11/5/2025
89,XZO,11/5/2025
90,BETA,11/4/2025
91,CEPV,11/4/2025
92,OTGA,11/3/2025
93,Q,11/3/2025
94,BGSI,10/31/2025
95,BLZR,10/31/2025
96,NOMA,10/31/2025
97,NAVN,10/30/2025
98,YCY,10/29/2025
99,GIW,10/27/2025
100,MPLT,10/27/2025
101,AGCC,10/22/2025
102,EMIS,10/22/2025
103,NPT,10/22/2025
104,AHMA,10/21/2025
105,BGIN,10/21/2025
106,GSRF,10/20/2025
107,SOLS,10/20/2025
108,ACCL,10/17/2025
109,MBVI,10/17/2025
110,BDCI,10/16/2025
111,OWLS,10/16/2025
112,SEV,10/16/2025
113,SLGB,10/15/2025
114,TCGL,10/15/2025
115,RPGL,10/14/2025
116,NKLR,10/10/2025
117,ALH,10/9/2025
118,LFS,10/9/2025
119,PXED,10/9/2025
120,YDDL,10/9/2025
121,POM,10/8/2025
122,TLNC,10/8/2025
123,TTRX,10/8/2025
124,CCHH,10/3/2025
125,CBK,10/2/2025
126,HVMC,10/2/2025
127,MKLY,10/2/2025
128,SSEA,10/2/2025
129,AGRZ,10/1/2025
130,FRMI,10/1/2025
131,NP,10/1/2025
132,YCY-U,10/1/2025
133,QUMS,9/30/2025
134,SVAC,9/30/2025
135,KNRX,9/29/2025
136,AEXA,9/26/2025
137,MGN,9/26/2025
138,HCMA,9/22/2025
139,BRBI,9/19/2025
140,KOYN,9/19/2025
141,PTRN,9/19/2025
142,NTSK,9/18/2025
143,STUB,9/17/2025
144,WBI,9/17/2025
145,CHOW,9/16/2025
146,MLCI,9/15/2025
147,BRCB,9/12/2025
148,FOFO,9/12/2025
149,GEMI,9/12/2025
150,LGN,9/12/2025
151,ONCH,9/12/2025
152,VIA,9/12/2025
153,FIGR,9/11/2025
154,LBRX,9/11/2025
155,KLAR,9/10/2025
156,PAII,9/10/2025
157,ORIQ,9/9/2025
158,SPEG,9/9/2025
159,ZGM,9/9/2025
160,SOCA,9/5/2025
161,FCHL,9/4/2025
162,NMP,9/3/2025
163,ELVR,9/2/2025
164,PMI,8/29/2025
165,ELOG,8/28/2025
166,TGHL,8/28/2025
167,THH,8/28/2025
168,APAD,8/27/2025
169,CURX,8/26/2025
170,CCII,8/22/2025
171,EVAC,8/22/2025
172,VNME,8/22/2025
173,CEPF,8/21/2025
174,ETS,8/21/2025
175,BCAR,8/20/2025
176,YMT,8/19/2025
177,FIGX,8/18/2025
178,LWAC,8/15/2025
179,OBA,8/15/2025
180,PACH,8/15/2025
181,BUUU,8/14/2025
182,MIAX,8/14/2025
183,RYOJ,8/14/2025
184,BLSH,8/13/2025
185,NSRX,8/13/2025
186,DKI,8/8/2025
187,HTFL,8/8/2025
188,BSAA,8/7/2025
189,CFND,8/7/2025
190,FLY,8/7/2025
191,WYFI,8/7/2025
192,CTW,8/6/2025
193,BACC,8/4/2025
194,RUBI,8/4/2025
195,AVBC,8/1/2025
196,AXIN,8/1/2025
197,BLUW,7/31/2025
198,FIG,7/31/2025
199,SI,7/31/2025
200,AMBQ,7/30/2025
201,INAC,7/30/2025
202,YMAT,7/30/2025
203,GTERA,7/25/2025
204,MCGA,7/25/2025
205,STRC,7/25/2025
206,ARX,7/24/2025
207,LHAI,7/24/2025
208,MH,7/24/2025
209,CARL,7/23/2025
210,CRE,7/23/2025
211,TDIC,7/23/2025
212,JENA,7/21/2025
213,KCHV,7/21/2025
214,WTG,7/21/2025
215,PASW,7/18/2025
216,AUGO,7/16/2025
217,KMRK,7/16/2025
218,MGRT,7/16/2025
219,BMHL,7/11/2025
220,GLIBA,7/11/2025
221,GLIBK,7/11/2025
222,OYSE,7/11/2025
223,PCAP,7/11/2025
224,DLXY,7/9/2025
225,ANPA,7/8/2025
226,MSGY,7/8/2025
227,TLIH,7/8/2025
228,CCCX,7/7/2025
229,WENN,7/7/2025
230,CV,7/2/2025
231,GRAN,7/2/2025
232,TVAI,7/2/2025
233,AEBI,7/1/2025
234,EGHA,6/30/2025
235,WW,6/30/2025
236,CAEP,6/26/2025
237,JCAP,6/26/2025
238,JLHL,6/26/2025
239,FMFC,6/25/2025
240,RAL,6/25/2025
241,CGCT,6/24/2025
242,HCHL,6/24/2025
243,XRPN,6/24/2025
244,AMRZ,6/23/2025
245,CRAQ,6/23/2025
246,GTEN,6/23/2025
247,LCCC,6/23/2025
248,RDAG,6/23/2025
249,CHPG,6/20/2025
250,PMTR,6/20/2025
251,CAI,6/18/2025
252,EGG,6/18/2025
253,SLDE,6/18/2025
254,MENS,6/17/2025
255,IPCX,6/16/2025
256,NPAC,6/16/2025
257,AIRO,6/13/2025
258,JBS,6/13/2025
259,CHYM,6/12/2025
260,IPOD,6/12/2025
261,OTF,6/12/2025
262,PELI,6/12/2025
263,VNTG,6/12/2025
264,ASIC,6/11/2025
265,VOYG,6/11/2025
266,BRR,6/9/2025
267,JEM,6/9/2025
268,RTAC,6/9/2025
269,SDHI,6/9/2025
270,TGE,6/9/2025
271,OMDA,6/6/2025
272,CRCL,6/5/2025
273,TACO,6/5/2025
274,COPL,6/2/2025
275,DAAQ,6/2/2025
276,RAAQ,6/2/2025
277,TACH,6/2/2025
278,UYSC,5/27/2025
279,FTRK,5/23/2025
280,SOUL,5/23/2025
281,SZZL,5/23/2025
282,HNGE,5/22/2025
283,MNTN,5/22/2025
284,OFAL,5/21/2025
285,CHAC,5/19/2025
286,TVA,5/16/2025
287,ARAI,5/15/2025
288,ANTA,5/14/2025
289,ETOR,5/14/2025
290,OMSE,5/13/2025
291,GSHR,5/12/2025
292,QSEA,5/12/2025
293,APUS,5/9/2025
294,AHL,5/8/2025
295,AII,5/8/2025
296,STRZ,5/7/2025
297,CEPT,5/2/2025
298,WSBK,5/2/2025
299,CMDB,5/1/2025
300,YB,4/30/2025
301,PHOE,4/25/2025
302,CIGL,4/22/2025
303,PFAI,4/22/2025
304,FERA,4/21/2025
305,LOKV,4/21/2025
306,RAC,4/21/2025
307,TMDE,4/21/2025
308,CHA,4/17/2025
309,EDHL,4/17/2025
310,NHIC,4/17/2025
311,HXHX,4/15/2025
312,RBNE,4/11/2025
313,ATHR,4/10/2025
314,CUPR,4/10/2025
315,IOTR,4/10/2025
316,MB,4/10/2025
317,FATN,4/8/2025
318,RYET,4/8/2025
319,AACB,4/7/2025
320,BLIV,4/4/2025
321,ATII,4/3/2025
