No.,Ticker,IPO Date
1,ADACU,12/18/2025
2,FJET,12/18/2025
3,LPCVU,12/18/2025
4,VHCPU,12/18/2025
5,ANDG,12/17/2025
6,BIXI,12/17/2025
7,CCXIU,12/17/2025
8,IRHOU,12/17/2025
9,MDLN,12/17/2025
10,CRANU,12/16/2025
11,VSNTV,12/16/2025
12,CMCSV,12/15/2025
13,HAVA,12/15/2025
14,MMTX,12/15/2025
15,ITHAU,12/12/2025
16,TWLVU,12/12/2025
17,WLTH,12/12/2025
18,BLRKU,12/11/2025
19,KBONU,12/11/2025
20,LMRI,12/11/2025
21,CDNL,12/10/2025
22,JMG,12/10/2025
23,MESHU,12/10/2025
24,CRAC,12/9/2025
25,DSACU,12/9/2025
26,MICC,12/8/2025
27,TDWD,12/8/2025
28,LFACU,12/5/2025
29,AEAQU,12/4/2025
30,HYNE,12/4/2025
31,NWAX-U,12/4/2025
32,RGNT,12/4/2025
33,SAC-U,12/4/2025
34,SMJF,12/4/2025
35,DMII,12/3/2025
36,EVOX,12/3/2025
37,GPACU,12/3/2025
38,PARK,12/3/2025
39,PURR,12/3/2025
40,SBXE-U,12/3/2025
41,BIXIU,12/2/2025
42,LAFA,11/26/2025
43,SCIIU,11/26/2025
44,IGACU,11/25/2025
45,AIIA,11/24/2025
46,RNGT,11/24/2025
47,APAC,11/21/2025
48,HCACU,11/21/2025
49,KRSP,11/21/2025
50,BCSS,11/20/2025
51,CBC,11/20/2025
52,VACI,11/20/2025
53,ALIS,11/19/2025
54,DNMX,11/19/2025
55,GLOO,11/19/2025
56,DYOR,11/18/2025
57,APXT,11/17/2025
58,FCRS,11/17/2025
59,WSHP,11/14/2025
60,ALUB-U,11/13/2025
61,CABR,11/13/2025
62,OTH,11/13/2025
63,POAS,11/13/2025
64,BPACU,11/12/2025
65,CHEC,11/11/2025
66,LATA,11/10/2025
67,AERO,11/6/2025
68,BLLN,11/6/2025
69,EVMN,11/6/2025
70,LKSP,11/6/2025
71,SUNC,11/6/2025
72,ELWT,11/5/2025
73,MEHA,11/5/2025
74,XZO,11/5/2025
75,BETA,11/4/2025
76,CEPV,11/4/2025
