No.,Ticker,IPO Date
1,PLTS,9/19/2025
2,PTRN,9/19/2025
3,NTSK,9/18/2025
4,STUB,9/17/2025
5,WBI,9/17/2025
6,CHECU,9/16/2025
7,CHOW,9/16/2025
8,MLCI,9/15/2025
9,BRCB,9/12/2025
10,FOFO,9/12/2025
11,GEMI,9/12/2025
12,LGN,9/12/2025
13,ONCH,9/12/2025
14,OTGAU,9/12/2025
15,VIA,9/12/2025
16,FIGR,9/11/2025
17,LBRX,9/11/2025
18,BLZRU,9/10/2025
19,KLAR,9/10/2025
20,PAII,9/10/2025
21,ORIQ,9/9/2025
22,SPEG,9/9/2025
23,TLNCU,9/9/2025
24,ZGM,9/9/2025
25,SOCA,9/5/2025
26,FCHL,9/4/2025
27,GSRFU,9/4/2025
28,SVACU,9/4/2025
29,NMP,9/3/2025
30,ELVR,9/2/2025
31,PMI,8/29/2025
32,ELOG,8/28/2025
33,TGHL,8/28/2025
34,THH,8/28/2025
35,APAD,8/27/2025
36,KOYNU,8/27/2025
37,MBVIU,8/27/2025
38,CURX,8/26/2025
39,CCII,8/22/2025
40,EVAC,8/22/2025
41,VNME,8/22/2025
42,CEPF,8/21/2025
43,ETS,8/21/2025
44,BCAR,8/20/2025
45,YMT,8/19/2025
46,FIGX,8/18/2025
47,LWAC,8/15/2025
48,NUTR,8/15/2025
49,OBA,8/15/2025
50,PACH,8/15/2025
51,BUUU,8/14/2025
52,MIAX,8/14/2025
53,RYOJ,8/14/2025
54,BLSH,8/13/2025
55,NSRX,8/13/2025
56,HVMCU,8/12/2025
57,MAGH,8/12/2025
58,MKLYU,8/12/2025
59,DKI,8/8/2025
60,EFTY,8/8/2025
61,HTFL,8/8/2025
62,SSEAU,8/8/2025
63,BSAA,8/7/2025
64,CFND,8/7/2025
65,FLY,8/7/2025
66,WYFI,8/7/2025
67,CTW,8/6/2025
68,QUMSU,8/6/2025
69,BACC,8/4/2025
70,RUBI,8/4/2025
71,AVBC,8/1/2025
72,AXIN,8/1/2025
73,HCMAU,8/1/2025
74,BLUW,7/31/2025
75,FIG,7/31/2025
76,SI,7/31/2025
77,AMBQ,7/30/2025
78,APADU,7/30/2025
79,INAC,7/30/2025
80,YMAT,7/30/2025
81,GTERA,7/25/2025
82,MCGA,7/25/2025
83,STRC,7/25/2025
84,ARX,7/24/2025
85,LHAI,7/24/2025
86,MH,7/24/2025
87,CARL,7/23/2025
88,CRE,7/23/2025
89,TDIC,7/23/2025
90,JENA,7/21/2025
91,KCHV,7/21/2025
92,WTG,7/21/2025
93,MJID,7/18/2025
94,LAWR,7/17/2025
95,PAII-U,7/17/2025
96,SOCAU,7/17/2025
97,AUGO,7/16/2025
98,KMRK,7/16/2025
99,MGRT,7/16/2025
100,SPEGU,7/15/2025
101,BMHL,7/11/2025
102,GLIBA,7/11/2025
