No.,Ticker,IPO Date
1,BIII,1/29/2026
2,DSAC,1/29/2026
3,KTWOU,1/29/2026
4,LIFE,1/29/2026
5,PICS,1/29/2026
6,UAC-U,1/29/2026
7,XSLLU,1/29/2026
8,YSS,1/29/2026
9,BBCQ,1/28/2026
10,KRAQU,1/28/2026
11,PPHC,1/28/2026
12,SAAQU,1/28/2026
13,GIXXU,1/27/2026
14,HCAC,1/27/2026
15,KBON,1/27/2026
16,MLAAU,1/27/2026
17,VTIX,1/27/2026
18,AEAQ,1/26/2026
19,LFAC,1/26/2026
20,NWAX,1/26/2026
21,PTORU,1/26/2026
22,SAC,1/26/2026
23,ARCIU,1/23/2026
24,EQPT,1/23/2026
25,GPAC,1/23/2026
26,HLXC,1/23/2026
27,LEGO-U,1/23/2026
28,SBXE,1/23/2026
29,ALOVU,1/22/2026
30,BTGO,1/22/2026
31,PLSM,1/21/2026
32,XCBEU,1/21/2026
33,ITHA,1/20/2026
34,SCII,1/20/2026
35,FGIIU,1/16/2026
36,IEAGU,1/16/2026
37,OIMAU,1/14/2026
38,GCDT,1/13/2026
39,CRAN,1/12/2026
40,AKTS,1/9/2026
41,TWLV,1/9/2026
42,ZKPU,1/9/2026
43,BBCQU,1/8/2026
44,BUDA,1/8/2026
45,SORNU,1/7/2026
46,ALUB,1/6/2026
47,ARTCU,1/6/2026
48,BIII-U,1/6/2026
49,BPAC,1/6/2026
50,VSNT,1/5/2026
51,WSTN,12/31/2025
52,SCPQU,12/23/2025
53,SVAQU,12/23/2025
54,IGAC,12/22/2025
55,BEBE-U,12/19/2025
56,ADACU,12/18/2025
57,FJET,12/18/2025
58,LPCVU,12/18/2025
59,VHCPU,12/18/2025
60,ANDG,12/17/2025
61,BIXI,12/17/2025
62,CCXIU,12/17/2025
63,IRHOU,12/17/2025
64,MDLN,12/17/2025
65,HAVA,12/15/2025
66,MMTX,12/15/2025
67,WLTH,12/12/2025
68,BLRKU,12/11/2025
69,KBONU,12/11/2025
70,LMRI,12/11/2025
71,CDNL,12/10/2025
72,JMG,12/10/2025
73,MESHU,12/10/2025
74,CRAC,12/9/2025
75,DSACU,12/9/2025
76,MICC,12/8/2025
77,TDWD,12/8/2025
78,LFACU,12/5/2025
79,AEAQU,12/4/2025
80,HYNE,12/4/2025
81,NWAX-U,12/4/2025
82,RGNT,12/4/2025
83,SAC-U,12/4/2025
84,SMJF,12/4/2025
85,DMII,12/3/2025
86,EVOX,12/3/2025
87,PARK,12/3/2025
88,PURR,12/3/2025
89,SBXE-U,12/3/2025
90,LAFA,11/26/2025
91,AIIA,11/24/2025
92,RNGT,11/24/2025
93,APAC,11/21/2025
94,HCACU,11/21/2025
95,KRSP,11/21/2025
96,BCSS,11/20/2025
97,CBC,11/20/2025
98,VACI,11/20/2025
99,ALIS,11/19/2025
100,DNMX,11/19/2025
101,GLOO,11/19/2025
102,DYOR,11/18/2025
103,APXT,11/17/2025
104,FCRS,11/17/2025
105,WSHP,11/14/2025
106,ALUB-U,11/13/2025
107,CABR,11/13/2025
108,OTH,11/13/2025
109,POAS,11/13/2025
110,CHEC,11/11/2025
111,LATA,11/10/2025
112,AERO,11/6/2025
113,BLLN,11/6/2025
114,EVMN,11/6/2025
115,LKSP,11/6/2025
116,SUNC,11/6/2025
117,ELWT,11/5/2025
118,MEHA,11/5/2025
119,XZO,11/5/2025
120,BETA,11/4/2025
121,CEPV,11/4/2025
122,OTGA,11/3/2025
123,Q,11/3/2025
124,BGSI,10/31/2025
125,BLZR,10/31/2025
126,NOMA,10/31/2025
127,NAVN,10/30/2025
128,YCY,10/29/2025
129,GIW,10/27/2025
130,MPLT,10/27/2025
131,AGCC,10/22/2025
132,EMIS,10/22/2025
133,NPT,10/22/2025
134,AHMA,10/21/2025
135,BGIN,10/21/2025
136,GSRF,10/20/2025
137,SOLS,10/20/2025
138,ACCL,10/17/2025
139,MBVI,10/17/2025
140,BDCI,10/16/2025
141,OWLS,10/16/2025
142,SEV,10/16/2025
143,SLGB,10/15/2025
144,TCGL,10/15/2025
145,RPGL,10/14/2025
146,NKLR,10/10/2025
147,ALH,10/9/2025
148,LFS,10/9/2025
149,PXED,10/9/2025
150,YDDL,10/9/2025
151,POM,10/8/2025
152,TLNC,10/8/2025
153,TTRX,10/8/2025
154,CCHH,10/3/2025
155,CBK,10/2/2025
156,HVMC,10/2/2025
157,MKLY,10/2/2025
158,SSEA,10/2/2025
159,AGRZ,10/1/2025
160,FRMI,10/1/2025
161,NP,10/1/2025
162,YCY-U,10/1/2025
163,QUMS,9/30/2025
164,SVAC,9/30/2025
165,KNRX,9/29/2025
166,AEXA,9/26/2025
167,MGN,9/26/2025
168,HCMA,9/22/2025
169,BRBI,9/19/2025
170,KOYN,9/19/2025
171,PTRN,9/19/2025
172,NTSK,9/18/2025
173,STUB,9/17/2025
174,WBI,9/17/2025
175,CHOW,9/16/2025
176,MLCI,9/15/2025
177,BRCB,9/12/2025
178,FOFO,9/12/2025
179,GEMI,9/12/2025
180,LGN,9/12/2025
181,ONCH,9/12/2025
182,VIA,9/12/2025
183,FIGR,9/11/2025
184,LBRX,9/11/2025
185,KLAR,9/10/2025
186,PAII,9/10/2025
187,ORIQ,9/9/2025
188,SPEG,9/9/2025
189,ZGM,9/9/2025
190,SOCA,9/5/2025
191,FCHL,9/4/2025
