No.,Ticker,IPO Date
1,ALH,10/9/2025
2,LFS,10/9/2025
3,PXED,10/9/2025
4,YDDL,10/9/2025
5,POM,10/8/2025
6,TLNC,10/8/2025
7,TTRX,10/8/2025
8,LKSPU,10/7/2025
9,GIWWU,10/6/2025
10,AIIA-U,10/3/2025
11,CCHH,10/3/2025
12,RNGTU,10/3/2025
13,CBK,10/2/2025
14,HVMC,10/2/2025
15,MKLY,10/2/2025
16,SSEA,10/2/2025
17,AGRZ,10/1/2025
18,FRMI,10/1/2025
19,KRSP-U,10/1/2025
20,NP,10/1/2025
21,YCY-U,10/1/2025
22,APACU,9/30/2025
23,BCSS-U,9/30/2025
24,BDCIU,9/30/2025
25,QUMS,9/30/2025
26,SVAC,9/30/2025
27,KNRX,9/29/2025
28,AEXA,9/26/2025
29,FCRS-U,9/26/2025
30,MGN,9/26/2025
31,DMIIU,9/25/2025
32,EMISU,9/25/2025
33,HCMA,9/22/2025
34,BRBI,9/19/2025
35,KOYN,9/19/2025
36,LATAU,9/19/2025
37,PLTS,9/19/2025
38,PTRN,9/19/2025
39,NTSK,9/18/2025
40,STUB,9/17/2025
41,WBI,9/17/2025
42,CHECU,9/16/2025
43,CHOW,9/16/2025
44,MLCI,9/15/2025
45,BRCB,9/12/2025
46,FOFO,9/12/2025
47,GEMI,9/12/2025
48,LGN,9/12/2025
49,ONCH,9/12/2025
50,OTGAU,9/12/2025
51,VIA,9/12/2025
52,FIGR,9/11/2025
53,LBRX,9/11/2025
54,BLZRU,9/10/2025
55,KLAR,9/10/2025
56,PAII,9/10/2025
57,ORIQ,9/9/2025
58,SPEG,9/9/2025
59,TLNCU,9/9/2025
60,ZGM,9/9/2025
61,SOCA,9/5/2025
62,FCHL,9/4/2025
63,GSRFU,9/4/2025
64,SVACU,9/4/2025
65,NMP,9/3/2025
66,ELVR,9/2/2025
67,PMI,8/29/2025
68,ELOG,8/28/2025
69,TGHL,8/28/2025
70,THH,8/28/2025
71,APAD,8/27/2025
72,KOYNU,8/27/2025
73,MBVIU,8/27/2025
74,CURX,8/26/2025
75,CCII,8/22/2025
76,EVAC,8/22/2025
77,VNME,8/22/2025
78,CEPF,8/21/2025
79,ETS,8/21/2025
80,BCAR,8/20/2025
81,YMT,8/19/2025
82,FIGX,8/18/2025
83,LWAC,8/15/2025
84,NUTR,8/15/2025
85,OBA,8/15/2025
86,PACH,8/15/2025
87,BUUU,8/14/2025
88,MIAX,8/14/2025
89,RYOJ,8/14/2025
90,BLSH,8/13/2025
91,NSRX,8/13/2025
92,HVMCU,8/12/2025
93,MAGH,8/12/2025
94,MKLYU,8/12/2025
95,DKI,8/8/2025
96,EFTY,8/8/2025
97,HTFL,8/8/2025
98,SSEAU,8/8/2025
99,BSAA,8/7/2025
100,CFND,8/7/2025
101,FLY,8/7/2025
102,WYFI,8/7/2025
103,CTW,8/6/2025
104,QUMSU,8/6/2025
105,BACC,8/4/2025
106,RUBI,8/4/2025
107,AVBC,8/1/2025
108,AXIN,8/1/2025
109,HCMAU,8/1/2025
110,BLUW,7/31/2025
111,FIG,7/31/2025
112,SI,7/31/2025
113,AMBQ,7/30/2025
114,APADU,7/30/2025
115,INAC,7/30/2025
116,YMAT,7/30/2025
117,GTERA,7/25/2025
118,MCGA,7/25/2025
119,STRC,7/25/2025
120,ARX,7/24/2025
121,LHAI,7/24/2025
122,MH,7/24/2025
123,CARL,7/23/2025
124,CRE,7/23/2025
125,TDIC,7/23/2025
126,JENA,7/21/2025
127,KCHV,7/21/2025
128,WTG,7/21/2025
129,PASW,7/18/2025
130,LAWR,7/17/2025
131,PAII-U,7/17/2025
132,SOCAU,7/17/2025
133,AUGO,7/16/2025
134,KMRK,7/16/2025
135,MGRT,7/16/2025
136,SPEGU,7/15/2025
137,BMHL,7/11/2025
138,GLIBA,7/11/2025
139,GLIBK,7/11/2025
140,OYSE,7/11/2025
141,PCAP,7/11/2025
142,DLXY,7/9/2025
143,GTERU,7/9/2025
144,ANPA,7/8/2025
145,MAMK,7/8/2025
146,MSGY,7/8/2025
147,TLIH,7/8/2025
148,CCCX,7/7/2025
149,WENN,7/7/2025
150,CV,7/2/2025
151,EMPG,7/2/2025
152,GRAN,7/2/2025
153,ONCHU,7/2/2025
154,ORIQU,7/2/2025
155,TVAI,7/2/2025
156,AEBI,7/1/2025
157,NMPAU,7/1/2025
158,EGHA,6/30/2025
159,WW,6/30/2025
160,CAEP,6/26/2025
161,JCAP,6/26/2025
162,JLHL,6/26/2025
163,FMFC,6/25/2025
164,RAL,6/25/2025
165,AACI,6/24/2025
166,CGCT,6/24/2025
167,HCHL,6/24/2025
168,AMRZ,6/23/2025
169,CRAQ,6/23/2025
170,GTEN,6/23/2025
171,LCCC,6/23/2025
172,RDAG,6/23/2025
173,CHPG,6/20/2025
174,PMTR,6/20/2025
175,CAI,6/18/2025
176,EGG,6/18/2025
177,SLDE,6/18/2025
178,MENS,6/17/2025
179,IPCX,6/16/2025
180,NPAC,6/16/2025
181,AIRO,6/13/2025
182,JBS,6/13/2025
183,CHYM,6/12/2025
184,IPOD,6/12/2025
185,OTF,6/12/2025
186,PELI,6/12/2025
187,VNTG,6/12/2025
188,ASIC,6/11/2025
189,VOYG,6/11/2025
190,BRR,6/9/2025
191,JEM,6/9/2025
192,RTAC,6/9/2025
193,SDHI,6/9/2025
194,TGE,6/9/2025
195,OMDA,6/6/2025
196,CRCL,6/5/2025
197,TACO,6/5/2025
198,COPL,6/2/2025
199,DAAQ,6/2/2025
200,RAAQ,6/2/2025
201,TACH,6/2/2025
202,PTNM,5/30/2025
203,UYSC,5/27/2025
204,FTRK,5/23/2025
205,SOUL,5/23/2025
206,SZZL,5/23/2025
207,HNGE,5/22/2025
208,MNTN,5/22/2025
209,OFAL,5/21/2025
210,CHAC,5/19/2025
211,TVA,5/16/2025
212,ARAI,5/15/2025
213,ANTA,5/14/2025
214,ETOR,5/14/2025
215,OMSE,5/13/2025
216,GSHR,5/12/2025
217,QSEA,5/12/2025
218,APUS,5/9/2025
219,AHL,5/8/2025
220,AII,5/8/2025
221,STRZ,5/7/2025
222,CEPT,5/2/2025
223,SDM,5/2/2025
224,WSBK,5/2/2025
225,CMDB,5/1/2025
226,YB,4/30/2025
227,PHOE,4/25/2025
228,CIGL,4/22/2025
229,PFAI,4/22/2025
230,FERA,4/21/2025
231,LOKV,4/21/2025
232,RAC,4/21/2025
233,TMDE,4/21/2025
234,CHA,4/17/2025
235,EDHL,4/17/2025
236,NHIC,4/17/2025
237,HXHX,4/15/2025
238,RBNE,4/11/2025
239,ATHR,4/10/2025
240,CUPR,4/10/2025
241,IOTR,4/10/2025
242,MB,4/10/2025
243,FATN,4/8/2025
244,RYET,4/8/2025
245,AACB,4/7/2025
246,BLIV,4/4/2025
247,ATII,4/3/2025
248,LHSW,4/3/2025
249,SMA,4/2/2025
250,SORA,4/2/2025
251,ENGS,4/1/2025
252,WTF,4/1/2025
253,WXM,4/1/2025
254,NMAX,3/31/2025
255,CRWV,3/28/2025
256,NCT,3/28/2025
257,WFF,3/27/2025
258,EPSM,3/26/2025
259,NTHI,3/26/2025
260,LGPS,3/25/2025
261,SVCC,3/24/2025
262,BIYA,3/21/2025
263,RCT,3/21/2025
264,COLA,3/17/2025
265,KFII,3/13/2025
266,MWYN,3/13/2025
267,EHLD,3/11/2025
268,MAYA,3/7/2025
269,MCRP,3/7/2025
270,RIBB,3/7/2025
271,SAGT,3/7/2025
272,ADVB,3/6/2025
273,JFB,3/6/2025
274,KMTS,3/6/2025
275,TBH,3/6/2025
276,PN,3/4/2025
277,LUD,2/27/2025
278,LZMH,2/27/2025
279,WETO,2/27/2025
280,BMGL,2/26/2025
281,STAK,2/26/2025
282,DMAA,2/25/2025
283,WGRX,2/21/2025
284,RHLD,2/20/2025
285,VRM,2/20/2025
286,NNNN,2/19/2025
287,NPB,2/14/2025
288,AARD,2/13/2025
289,KRMN,2/13/2025
290,SAIL,2/13/2025
291,SNDK,2/13/2025
292,TDAC,2/13/2025
293,XHLD,2/13/2025
294,AGH,2/12/2025
295,FGMC,2/11/2025
296,SION,2/7/2025
297,TTAM,2/7/2025
298,EPWK,2/6/2025
299,FBGL,2/6/2025
300,HVII,2/6/2025
301,CJMB,2/5/2025
302,HCAI,2/5/2025
303,HSPT,2/5/2025
304,MRP,2/5/2025
305,PLUT,2/5/2025
306,DRDB,2/3/2025
307,MLAC,2/3/2025
308,INR,1/31/2025
309,MAZE,1/31/2025
310,MTSR,1/31/2025
311,PLMK,1/31/2025
312,BBNX,1/30/2025
313,CSAI,1/30/2025
314,JACS,1/30/2025
315,PGAC,1/28/2025
316,SFD,1/28/2025
317,TWNP,1/28/2025
318,AAPG,1/27/2025
319,VG,1/24/2025
320,SKBL,1/23/2025
321,DGNX,1/22/2025
322,DXST,1/22/2025
323,MCTR,1/22/2025
324,TOPP,1/22/2025
325,FLOC,1/16/2025
326,NOEM,1/16/2025
327,PCLA,1/16/2025
328,HKPD,1/15/2025
329,UFG,1/14/2025
330,RANG,1/13/2025
331,MIMI,1/10/2025
332,MASK,1/8/2025
333,CEPO,1/7/2025
334,ZYBT,1/7/2025
335,ASPC,1/3/2025
336,INLF,1/2/2025
337,RAIN,1/2/2025
338,ONEG,12/31/2024
339,WLAC,12/30/2024
340,NTWO,12/27/2024
341,PHH,12/27/2024
342,HIT,12/23/2024
343,FACT,12/20/2024
344,TAVI,12/20/2024
345,YAAS,12/20/2024
346,GSRT,12/19/2024
347,LSE,12/19/2024
348,NCEW,12/18/2024
349,YSXT,12/18/2024
350,BEAG,12/16/2024
351,OACC,12/16/2024
352,ALDF,12/13/2024
353,AVR,12/13/2024
354,NTCL,12/13/2024
355,TTAN,12/12/2024
356,ETHM,12/9/2024
357,NAMI,12/6/2024
358,LNKS,12/5/2024
359,RADX,12/5/2024
360,ZSPC,12/5/2024
361,JUNS,12/3/2024
362,KYIV,12/3/2024
363,BACQ,12/2/2024
364,RDAC,12/2/2024
365,LPBB,11/29/2024
366,BRIA,11/27/2024
367,GRO,11/27/2024
368,PONY,11/27/2024
369,VENU,11/27/2024
370,CGTL,11/26/2024
371,CHAR,11/26/2024
372,WYHG,11/26/2024
373,IPST,11/22/2024
374,MSW,11/22/2024
375,TLX,11/14/2024
376,EXOZ,11/13/2024
377,YHNA,11/8/2024
378,ADUR,11/7/2024
379,FVN,11/4/2024
380,GELS,10/29/2024
381,PLRZ,10/29/2024
382,ECG,10/28/2024
383,POLE,10/28/2024
384,VCIC,10/28/2024
385,SEPN,10/25/2024
386,WRD,10/25/2024
387,CAPN,10/24/2024
388,INGM,10/24/2024
389,FBLA,10/23/2024
390,FGL,10/23/2024
391,INEO,10/23/2024
392,LBGJ,10/23/2024
393,ROLR,10/23/2024
