No.,Ticker,IPO Date
1,FCHL,9/4/2025
2,GSRFU,9/4/2025
3,SVACU,9/4/2025
4,NMP,9/3/2025
5,ELVR,9/2/2025
6,PMI,8/29/2025
7,ELOG,8/28/2025
8,TGHL,8/28/2025
9,THH,8/28/2025
10,APAD,8/27/2025
11,KOYNU,8/27/2025
12,MBVIU,8/27/2025
13,CURX,8/26/2025
14,CCII,8/22/2025
15,EVAC,8/22/2025
16,VNME,8/22/2025
17,CEPF,8/21/2025
18,ETS,8/21/2025
19,BCAR,8/20/2025
20,YMT,8/19/2025
21,FIGX,8/18/2025
22,LWAC,8/15/2025
23,NUTR,8/15/2025
24,OBA,8/15/2025
25,PACH,8/15/2025
26,BUUU,8/14/2025
27,MIAX,8/14/2025
28,RYOJ,8/14/2025
29,BLSH,8/13/2025
30,NSRX,8/13/2025
31,HVMCU,8/12/2025
32,MAGH,8/12/2025
33,MKLYU,8/12/2025
34,DKI,8/8/2025
35,EFTY,8/8/2025
36,HTFL,8/8/2025
37,SSEAU,8/8/2025
38,BSAA,8/7/2025
39,CFND,8/7/2025
40,FLY,8/7/2025
41,WYFI,8/7/2025
42,CTW,8/6/2025
43,QUMSU,8/6/2025
44,BACC,8/4/2025
45,RUBI,8/4/2025
46,AVBC,8/1/2025
47,AXIN,8/1/2025
48,HCMAU,8/1/2025
49,BLUW,7/31/2025
50,FIG,7/31/2025
51,SI,7/31/2025
52,AMBQ,7/30/2025
53,APADU,7/30/2025
54,INAC,7/30/2025
55,YMAT,7/30/2025
56,GTERA,7/25/2025
57,STRC,7/25/2025
58,YORK,7/25/2025
59,ARX,7/24/2025
60,LHAI,7/24/2025
61,MH,7/24/2025
62,CARL,7/23/2025
63,CRE,7/23/2025
64,TDIC,7/23/2025
65,JENA,7/21/2025
66,KCHV,7/21/2025
67,WTG,7/21/2025
68,MJID,7/18/2025
69,LAWR,7/17/2025
70,PAII-U,7/17/2025
71,SOCAU,7/17/2025
72,AUGO,7/16/2025
73,KMRK,7/16/2025
74,MGRT,7/16/2025
75,SPEGU,7/15/2025
76,BMHL,7/11/2025
77,GLIBA,7/11/2025
78,GLIBK,7/11/2025
79,OYSE,7/11/2025
80,PCAP,7/11/2025
81,DLXY,7/9/2025
82,GTERU,7/9/2025
83,ANPA,7/8/2025
84,MAMK,7/8/2025
85,MSGY,7/8/2025
86,TLIH,7/8/2025
87,CCCX,7/7/2025
88,WENN,7/7/2025
89,CV,7/2/2025
90,EMPG,7/2/2025
91,GRAN,7/2/2025
92,ONCHU,7/2/2025
93,ORIQU,7/2/2025
94,TVAI,7/2/2025
95,AEBI,7/1/2025
96,NMPAU,7/1/2025
97,EGHA,6/30/2025
98,WW,6/30/2025
99,CAEP,6/26/2025
100,JCAP,6/26/2025
101,JLHL,6/26/2025
102,FMFC,6/25/2025
103,RAL,6/25/2025
104,AACI,6/24/2025
105,CGCT,6/24/2025
106,HCHL,6/24/2025
107,AMRZ,6/23/2025
108,CRAQ,6/23/2025
109,GTEN,6/23/2025
110,LCCC,6/23/2025
111,RDAG,6/23/2025
112,CHPG,6/20/2025
113,PMTR,6/20/2025
114,CAI,6/18/2025
115,EGG,6/18/2025
116,SLDE,6/18/2025
117,MENS,6/17/2025
118,IPCX,6/16/2025
119,NPAC,6/16/2025
120,AIRO,6/13/2025
121,JBS,6/13/2025
122,CHYM,6/12/2025
123,IPOD,6/12/2025
124,OTF,6/12/2025
125,PELI,6/12/2025
126,VNTG,6/12/2025
127,ASIC,6/11/2025
128,VOYG,6/11/2025
129,BRR,6/9/2025
130,JEM,6/9/2025
131,RTAC,6/9/2025
132,SDHI,6/9/2025
133,TGE,6/9/2025
134,OMDA,6/6/2025
135,CRCL,6/5/2025
136,TACO,6/5/2025
137,COPL,6/2/2025
138,DAAQ,6/2/2025
139,RAAQ,6/2/2025
140,TACH,6/2/2025
141,PTNM,5/30/2025
142,UYSC,5/27/2025
143,FTRK,5/23/2025
144,SOUL,5/23/2025
145,SZZL,5/23/2025
146,HNGE,5/22/2025
147,MNTN,5/22/2025
148,OFAL,5/21/2025
149,CHAC,5/19/2025
150,TVA,5/16/2025
151,ARAI,5/15/2025
152,ANTA,5/14/2025
153,ETOR,5/14/2025
154,OMSE,5/13/2025
155,GSHR,5/12/2025
156,QSEA,5/12/2025
157,APUS,5/9/2025
158,AHL,5/8/2025
159,AII,5/8/2025
160,STRZ,5/7/2025
161,CEPT,5/2/2025
162,SDM,5/2/2025
163,WSBK,5/2/2025
164,CMDB,5/1/2025
165,YB,4/30/2025
166,FLYY,4/29/2025
167,PHOE,4/25/2025
168,CIGL,4/22/2025
169,PFAI,4/22/2025
170,FERA,4/21/2025
171,LOKV,4/21/2025
172,RAC,4/21/2025
173,TMDE,4/21/2025
174,CHA,4/17/2025
175,EDHL,4/17/2025
176,NHIC,4/17/2025
177,HXHX,4/15/2025
178,RBNE,4/11/2025
179,ATHR,4/10/2025
180,CUPR,4/10/2025
181,IOTR,4/10/2025
182,MB,4/10/2025
183,FATN,4/8/2025
184,RYET,4/8/2025
185,AACB,4/7/2025
186,BLIV,4/4/2025
187,ATII,4/3/2025
188,LHSW,4/3/2025
189,SMA,4/2/2025
190,SORA,4/2/2025
191,ENGS,4/1/2025
192,WTF,4/1/2025
193,WXM,4/1/2025
194,NMAX,3/31/2025
195,CRWV,3/28/2025
196,NCT,3/28/2025
197,WFF,3/27/2025
198,EPSM,3/26/2025
199,NTHI,3/26/2025
200,LGPS,3/25/2025
201,SVCC,3/24/2025
202,BIYA,3/21/2025
203,RCT,3/21/2025
204,COLA,3/17/2025
205,KFII,3/13/2025
206,MWYN,3/13/2025
207,EHLD,3/11/2025
208,MAYA,3/7/2025
209,MCRP,3/7/2025
210,RIBB,3/7/2025
211,SAGT,3/7/2025
212,ADVB,3/6/2025
213,JFB,3/6/2025
214,KMTS,3/6/2025
215,TBH,3/6/2025
216,PN,3/4/2025
217,LUD,2/27/2025
218,LZMH,2/27/2025
219,WETO,2/27/2025
220,BMGL,2/26/2025
221,STAK,2/26/2025
222,DMAA,2/25/2025
223,WGRX,2/21/2025
224,RHLD,2/20/2025
225,VRM,2/20/2025
226,NNNN,2/19/2025
227,NPB,2/14/2025
228,AARD,2/13/2025
229,KRMN,2/13/2025
230,SAIL,2/13/2025
231,SNDK,2/13/2025
232,TDAC,2/13/2025
233,XHLD,2/13/2025
234,AGH,2/12/2025
235,FGMC,2/11/2025
236,SION,2/7/2025
237,TTAM,2/7/2025
238,EPWK,2/6/2025
239,FBGL,2/6/2025
240,HVII,2/6/2025
241,CJMB,2/5/2025
242,HCAI,2/5/2025
243,HSPT,2/5/2025
244,MRP,2/5/2025
245,PLUT,2/5/2025
246,DRDB,2/3/2025
247,MLAC,2/3/2025
248,INR,1/31/2025
249,MAZE,1/31/2025
250,MTSR,1/31/2025
251,PLMK,1/31/2025
252,BBNX,1/30/2025
253,CSAI,1/30/2025
254,JACS,1/30/2025
255,PGAC,1/28/2025
256,SFD,1/28/2025
257,TWNP,1/28/2025
258,AAPG,1/27/2025
259,VG,1/24/2025
260,SKBL,1/23/2025
261,DGNX,1/22/2025
262,DXST,1/22/2025
263,MCTR,1/22/2025
264,TOPP,1/22/2025
265,FLOC,1/16/2025
266,NOEM,1/16/2025
267,PCLA,1/16/2025
268,HKPD,1/15/2025
269,UFG,1/14/2025
