No.,Ticker,IPO Date
1,EQPT,1/23/2026
2,ALOVU,1/22/2026
3,BTGO,1/22/2026
4,PLSM,1/21/2026
5,XCBEU,1/21/2026
6,ITHA,1/20/2026
7,SCII,1/20/2026
8,FGIIU,1/16/2026
9,IEAGU,1/16/2026
10,OIMAU,1/14/2026
11,GCDT,1/13/2026
12,CRAN,1/12/2026
13,AKTS,1/9/2026
14,TWLV,1/9/2026
15,ZKPU,1/9/2026
16,BBCQU,1/8/2026
17,BUDA,1/8/2026
18,SORNU,1/7/2026
19,ALUB,1/6/2026
20,ARTCU,1/6/2026
21,BIII-U,1/6/2026
22,BPAC,1/6/2026
23,VSNT,1/5/2026
24,WSTN,12/31/2025
25,SCPQU,12/23/2025
26,SVAQU,12/23/2025
27,IGAC,12/22/2025
28,BEBE-U,12/19/2025
29,ADACU,12/18/2025
30,FJET,12/18/2025
31,LPCVU,12/18/2025
32,VHCPU,12/18/2025
33,ANDG,12/17/2025
34,BIXI,12/17/2025
35,CCXIU,12/17/2025
36,IRHOU,12/17/2025
37,MDLN,12/17/2025
38,HAVA,12/15/2025
39,MMTX,12/15/2025
40,ITHAU,12/12/2025
41,WLTH,12/12/2025
42,BLRKU,12/11/2025
43,KBONU,12/11/2025
44,LMRI,12/11/2025
45,CDNL,12/10/2025
46,JMG,12/10/2025
47,MESHU,12/10/2025
48,CRAC,12/9/2025
49,DSACU,12/9/2025
50,MICC,12/8/2025
51,TDWD,12/8/2025
52,LFACU,12/5/2025
53,AEAQU,12/4/2025
54,HYNE,12/4/2025
55,NWAX-U,12/4/2025
56,RGNT,12/4/2025
57,SAC-U,12/4/2025
58,SMJF,12/4/2025
59,DMII,12/3/2025
60,EVOX,12/3/2025
61,GPACU,12/3/2025
62,PARK,12/3/2025
63,PURR,12/3/2025
64,SBXE-U,12/3/2025
65,LAFA,11/26/2025
66,SCIIU,11/26/2025
67,AIIA,11/24/2025
68,RNGT,11/24/2025
69,APAC,11/21/2025
70,HCACU,11/21/2025
71,KRSP,11/21/2025
72,BCSS,11/20/2025
73,CBC,11/20/2025
74,VACI,11/20/2025
75,ALIS,11/19/2025
76,DNMX,11/19/2025
77,GLOO,11/19/2025
78,DYOR,11/18/2025
79,APXT,11/17/2025
80,FCRS,11/17/2025
81,WSHP,11/14/2025
82,ALUB-U,11/13/2025
83,CABR,11/13/2025
84,OTH,11/13/2025
85,POAS,11/13/2025
86,CHEC,11/11/2025
87,LATA,11/10/2025
88,AERO,11/6/2025
89,BLLN,11/6/2025
90,EVMN,11/6/2025
91,LKSP,11/6/2025
92,SUNC,11/6/2025
93,ELWT,11/5/2025
94,MEHA,11/5/2025
95,XZO,11/5/2025
96,BETA,11/4/2025
97,CEPV,11/4/2025
98,OTGA,11/3/2025
99,Q,11/3/2025
100,BGSI,10/31/2025
101,BLZR,10/31/2025
102,NOMA,10/31/2025
103,NAVN,10/30/2025
104,YCY,10/29/2025
105,GIW,10/27/2025
106,MPLT,10/27/2025
107,AGCC,10/22/2025
108,EMIS,10/22/2025
109,NPT,10/22/2025
110,AHMA,10/21/2025
111,BGIN,10/21/2025
112,GSRF,10/20/2025
113,SOLS,10/20/2025
114,ACCL,10/17/2025
115,MBVI,10/17/2025
116,BDCI,10/16/2025
117,OWLS,10/16/2025
118,SEV,10/16/2025
119,SLGB,10/15/2025
120,TCGL,10/15/2025
121,RPGL,10/14/2025
122,NKLR,10/10/2025
123,ALH,10/9/2025
124,LFS,10/9/2025
125,PXED,10/9/2025
126,YDDL,10/9/2025
127,POM,10/8/2025
128,TLNC,10/8/2025
129,TTRX,10/8/2025
130,CCHH,10/3/2025
131,CBK,10/2/2025
132,HVMC,10/2/2025
133,MKLY,10/2/2025
134,SSEA,10/2/2025
135,AGRZ,10/1/2025
