No.,Ticker,IPO Date
1,BRCB,9/12/2025
2,GEMI,9/12/2025
3,LGN,9/12/2025
4,VIA,9/12/2025
5,FIGR,9/11/2025
6,LBRX,9/11/2025
7,BLZRU,9/10/2025
8,KLAR,9/10/2025
9,PAII,9/10/2025
10,ORIQ,9/9/2025
11,SPEG,9/9/2025
12,TLNCU,9/9/2025
13,ZGM,9/9/2025
14,SOCA,9/5/2025
15,FCHL,9/4/2025
16,GSRFU,9/4/2025
17,SVACU,9/4/2025
18,NMP,9/3/2025
19,ELVR,9/2/2025
20,PMI,8/29/2025
21,ELOG,8/28/2025
22,TGHL,8/28/2025
23,THH,8/28/2025
24,APAD,8/27/2025
25,KOYNU,8/27/2025
26,MBVIU,8/27/2025
27,CURX,8/26/2025
28,CCII,8/22/2025
29,EVAC,8/22/2025
30,VNME,8/22/2025
31,CEPF,8/21/2025
32,ETS,8/21/2025
33,BCAR,8/20/2025
34,YMT,8/19/2025
35,FIGX,8/18/2025
36,LWAC,8/15/2025
37,NUTR,8/15/2025
38,OBA,8/15/2025
39,PACH,8/15/2025
40,BUUU,8/14/2025
41,MIAX,8/14/2025
42,RYOJ,8/14/2025
43,BLSH,8/13/2025
44,NSRX,8/13/2025
45,HVMCU,8/12/2025
46,MAGH,8/12/2025
47,MKLYU,8/12/2025
48,DKI,8/8/2025
49,EFTY,8/8/2025
50,HTFL,8/8/2025
51,SSEAU,8/8/2025
52,BSAA,8/7/2025
53,CFND,8/7/2025
54,FLY,8/7/2025
55,WYFI,8/7/2025
56,CTW,8/6/2025
57,QUMSU,8/6/2025
58,BACC,8/4/2025
59,RUBI,8/4/2025
60,AVBC,8/1/2025
61,AXIN,8/1/2025
62,HCMAU,8/1/2025
63,BLUW,7/31/2025
64,FIG,7/31/2025
65,SI,7/31/2025
66,AMBQ,7/30/2025
67,APADU,7/30/2025
68,INAC,7/30/2025
69,YMAT,7/30/2025
70,GTERA,7/25/2025
71,MCGA,7/25/2025
72,STRC,7/25/2025
73,ARX,7/24/2025
74,LHAI,7/24/2025
75,MH,7/24/2025
76,CARL,7/23/2025
77,CRE,7/23/2025
78,TDIC,7/23/2025
79,JENA,7/21/2025
80,KCHV,7/21/2025
81,WTG,7/21/2025
82,MJID,7/18/2025
83,LAWR,7/17/2025
84,PAII-U,7/17/2025
85,SOCAU,7/17/2025
86,AUGO,7/16/2025
87,KMRK,7/16/2025
88,MGRT,7/16/2025
89,SPEGU,7/15/2025
90,BMHL,7/11/2025
91,GLIBA,7/11/2025
92,GLIBK,7/11/2025
93,OYSE,7/11/2025
