No.,Ticker,IPO Date
1,MGN,9/26/2025
2,DMIIU,9/25/2025
3,EMISU,9/25/2025
4,HCMA,9/22/2025
5,BRBI,9/19/2025
6,KOYN,9/19/2025
7,LATAU,9/19/2025
8,PLTS,9/19/2025
9,PTRN,9/19/2025
10,NTSK,9/18/2025
11,STUB,9/17/2025
12,WBI,9/17/2025
13,CHECU,9/16/2025
14,CHOW,9/16/2025
15,MLCI,9/15/2025
16,BRCB,9/12/2025
17,FOFO,9/12/2025
18,GEMI,9/12/2025
19,LGN,9/12/2025
20,ONCH,9/12/2025
21,OTGAU,9/12/2025
22,VIA,9/12/2025
23,FIGR,9/11/2025
24,LBRX,9/11/2025
25,BLZRU,9/10/2025
26,KLAR,9/10/2025
27,PAII,9/10/2025
28,ORIQ,9/9/2025
29,SPEG,9/9/2025
30,TLNCU,9/9/2025
31,ZGM,9/9/2025
32,SOCA,9/5/2025
33,FCHL,9/4/2025
34,GSRFU,9/4/2025
35,SVACU,9/4/2025
36,NMP,9/3/2025
37,ELVR,9/2/2025
38,PMI,8/29/2025
39,ELOG,8/28/2025
40,TGHL,8/28/2025
41,THH,8/28/2025
42,APAD,8/27/2025
43,KOYNU,8/27/2025
44,MBVIU,8/27/2025
45,CURX,8/26/2025
46,CCII,8/22/2025
47,EVAC,8/22/2025
48,VNME,8/22/2025
49,CEPF,8/21/2025
50,ETS,8/21/2025
51,BCAR,8/20/2025
52,YMT,8/19/2025
53,FIGX,8/18/2025
54,LWAC,8/15/2025
55,NUTR,8/15/2025
56,OBA,8/15/2025
57,PACH,8/15/2025
58,BUUU,8/14/2025
59,MIAX,8/14/2025
60,RYOJ,8/14/2025
61,BLSH,8/13/2025
62,NSRX,8/13/2025
63,HVMCU,8/12/2025
64,MAGH,8/12/2025
65,MKLYU,8/12/2025
66,DKI,8/8/2025
67,EFTY,8/8/2025
68,HTFL,8/8/2025
69,SSEAU,8/8/2025
70,BSAA,8/7/2025
71,CFND,8/7/2025
72,FLY,8/7/2025
73,WYFI,8/7/2025
74,CTW,8/6/2025
75,QUMSU,8/6/2025
76,BACC,8/4/2025
77,RUBI,8/4/2025
78,AVBC,8/1/2025
79,AXIN,8/1/2025
80,HCMAU,8/1/2025
81,BLUW,7/31/2025
