No.,Ticker,IPO Date
1,LAFA,11/26/2025
2,SCIIU,11/26/2025
3,AIIA,11/24/2025
4,RNGT,11/24/2025
5,APAC,11/21/2025
6,HCACU,11/21/2025
7,KRSP,11/21/2025
8,BCSS,11/20/2025
9,CBC,11/20/2025
10,VACI,11/20/2025
11,ALIS,11/19/2025
12,DNMX,11/19/2025
13,GLOO,11/19/2025
14,DYOR,11/18/2025
15,APXT,11/17/2025
16,FCRS,11/17/2025
17,WSHP,11/14/2025
18,ALUB-U,11/13/2025
19,CABR,11/13/2025
20,OTH,11/13/2025
21,POAS,11/13/2025
22,BPACU,11/12/2025
23,CHEC,11/11/2025
24,EVOXU,11/11/2025
25,LATA,11/10/2025
26,CRACU,11/7/2025
27,TDWDU,11/7/2025
28,AERO,11/6/2025
29,BLLN,11/6/2025
30,EVMN,11/6/2025
31,LKSP,11/6/2025
32,SUNC,11/6/2025
33,ELWT,11/5/2025
34,MEHA,11/5/2025
35,XZO,11/5/2025
36,BETA,11/4/2025
37,CEPV,11/4/2025
38,WSTNU,11/4/2025
39,OTGA,11/3/2025
40,Q,11/3/2025
41,BGSI,10/31/2025
42,BLZR,10/31/2025
43,NOMA,10/31/2025
44,NAVN,10/30/2025
45,YCY,10/29/2025
46,GIW,10/27/2025
47,MPLT,10/27/2025
48,LAFAU,10/24/2025
49,HAVAU,10/23/2025
50,MMTXU,10/23/2025
51,AGCC,10/22/2025
52,EMIS,10/22/2025
53,NPT,10/22/2025
54,AHMA,10/21/2025
55,BGIN,10/21/2025
56,GSRF,10/20/2025
57,SOLS,10/20/2025
58,ACCL,10/17/2025
59,MBVI,10/17/2025
60,BDCI,10/16/2025
61,OWLS,10/16/2025
62,SEV,10/16/2025
63,SLGB,10/15/2025
64,TCGL,10/15/2025
65,RPGL,10/14/2025
66,NKLR,10/10/2025
67,ALH,10/9/2025
68,LFS,10/9/2025
69,PXED,10/9/2025
70,YDDL,10/9/2025
71,POM,10/8/2025
72,TLNC,10/8/2025
73,TTRX,10/8/2025
74,LKSPU,10/7/2025
75,AIIA-U,10/3/2025
76,CCHH,10/3/2025
77,RNGTU,10/3/2025
78,CBK,10/2/2025
79,HVMC,10/2/2025
80,MKLY,10/2/2025
81,SSEA,10/2/2025
82,AGRZ,10/1/2025
83,FRMI,10/1/2025
84,NP,10/1/2025
85,YCY-U,10/1/2025
86,QUMS,9/30/2025
87,SVAC,9/30/2025
88,KNRX,9/29/2025
89,AEXA,9/26/2025
90,MGN,9/26/2025
91,DMIIU,9/25/2025
92,HCMA,9/22/2025
93,BRBI,9/19/2025
94,KOYN,9/19/2025
95,LATAU,9/19/2025
96,PTRN,9/19/2025
97,NTSK,9/18/2025
98,STUB,9/17/2025
99,WBI,9/17/2025
100,CHECU,9/16/2025
101,CHOW,9/16/2025
102,MLCI,9/15/2025
103,BRCB,9/12/2025
104,FOFO,9/12/2025
105,GEMI,9/12/2025
106,LGN,9/12/2025
107,ONCH,9/12/2025
108,VIA,9/12/2025
109,FIGR,9/11/2025
110,LBRX,9/11/2025
111,KLAR,9/10/2025
112,PAII,9/10/2025
113,ORIQ,9/9/2025
114,SPEG,9/9/2025
115,ZGM,9/9/2025
116,SOCA,9/5/2025
117,FCHL,9/4/2025
118,NMP,9/3/2025
119,ELVR,9/2/2025
120,PMI,8/29/2025
121,ELOG,8/28/2025
122,TGHL,8/28/2025
123,THH,8/28/2025
124,APAD,8/27/2025
125,CURX,8/26/2025
126,CCII,8/22/2025
127,EVAC,8/22/2025
128,VNME,8/22/2025
129,CEPF,8/21/2025
130,ETS,8/21/2025
131,BCAR,8/20/2025
132,YMT,8/19/2025
133,FIGX,8/18/2025
134,LWAC,8/15/2025
135,OBA,8/15/2025
136,PACH,8/15/2025
