No.,Ticker,IPO Date
1,MGN,9/26/2025
2,DMIIU,9/25/2025
3,EMISU,9/25/2025
4,HCMA,9/22/2025
5,BRBI,9/19/2025
6,KOYN,9/19/2025
7,LATAU,9/19/2025
8,PLTS,9/19/2025
9,PTRN,9/19/2025
10,NTSK,9/18/2025
11,STUB,9/17/2025
12,WBI,9/17/2025
13,CHECU,9/16/2025
14,CHOW,9/16/2025
15,MLCI,9/15/2025
16,BRCB,9/12/2025
17,FOFO,9/12/2025
18,GEMI,9/12/2025
19,LGN,9/12/2025
20,ONCH,9/12/2025
21,OTGAU,9/12/2025
22,VIA,9/12/2025
23,FIGR,9/11/2025
24,LBRX,9/11/2025
25,BLZRU,9/10/2025
26,KLAR,9/10/2025
27,PAII,9/10/2025
28,ORIQ,9/9/2025
29,SPEG,9/9/2025
30,TLNCU,9/9/2025
31,ZGM,9/9/2025
32,SOCA,9/5/2025
33,FCHL,9/4/2025
34,GSRFU,9/4/2025
35,SVACU,9/4/2025
36,NMP,9/3/2025
37,ELVR,9/2/2025
38,PMI,8/29/2025
39,ELOG,8/28/2025
40,TGHL,8/28/2025
41,THH,8/28/2025
42,APAD,8/27/2025
43,KOYNU,8/27/2025
44,MBVIU,8/27/2025
45,CURX,8/26/2025
46,CCII,8/22/2025
47,EVAC,8/22/2025
48,VNME,8/22/2025
49,CEPF,8/21/2025
50,ETS,8/21/2025
51,BCAR,8/20/2025
52,YMT,8/19/2025
53,FIGX,8/18/2025
54,LWAC,8/15/2025
55,NUTR,8/15/2025
56,OBA,8/15/2025
57,PACH,8/15/2025
58,BUUU,8/14/2025
59,MIAX,8/14/2025
60,RYOJ,8/14/2025
61,BLSH,8/13/2025
62,NSRX,8/13/2025
63,HVMCU,8/12/2025
64,MAGH,8/12/2025
65,MKLYU,8/12/2025
66,DKI,8/8/2025
67,EFTY,8/8/2025
68,HTFL,8/8/2025
69,SSEAU,8/8/2025
70,BSAA,8/7/2025
71,CFND,8/7/2025
72,FLY,8/7/2025
73,WYFI,8/7/2025
74,CTW,8/6/2025
75,QUMSU,8/6/2025
76,BACC,8/4/2025
77,RUBI,8/4/2025
78,AVBC,8/1/2025
79,AXIN,8/1/2025
80,HCMAU,8/1/2025
81,BLUW,7/31/2025
82,FIG,7/31/2025
83,SI,7/31/2025
84,AMBQ,7/30/2025
85,APADU,7/30/2025
86,INAC,7/30/2025
87,YMAT,7/30/2025
88,GTERA,7/25/2025
89,MCGA,7/25/2025
90,STRC,7/25/2025
91,ARX,7/24/2025
92,LHAI,7/24/2025
93,MH,7/24/2025
94,CARL,7/23/2025
95,CRE,7/23/2025
96,TDIC,7/23/2025
97,JENA,7/21/2025
98,KCHV,7/21/2025
99,WTG,7/21/2025
100,MJID,7/18/2025
101,LAWR,7/17/2025
102,PAII-U,7/17/2025
103,SOCAU,7/17/2025
104,AUGO,7/16/2025
105,KMRK,7/16/2025
106,MGRT,7/16/2025
107,SPEGU,7/15/2025
108,BMHL,7/11/2025
109,GLIBA,7/11/2025
110,GLIBK,7/11/2025
111,OYSE,7/11/2025
112,PCAP,7/11/2025
113,DLXY,7/9/2025
114,GTERU,7/9/2025
115,ANPA,7/8/2025
116,MAMK,7/8/2025
117,MSGY,7/8/2025
118,TLIH,7/8/2025
119,CCCX,7/7/2025
120,WENN,7/7/2025
121,CV,7/2/2025
122,EMPG,7/2/2025
123,GRAN,7/2/2025
124,ONCHU,7/2/2025
125,ORIQU,7/2/2025
126,TVAI,7/2/2025
127,AEBI,7/1/2025
128,NMPAU,7/1/2025
129,EGHA,6/30/2025
130,WW,6/30/2025
131,CAEP,6/26/2025
132,JCAP,6/26/2025
133,JLHL,6/26/2025
134,FMFC,6/25/2025
135,RAL,6/25/2025
136,AACI,6/24/2025
137,CGCT,6/24/2025
138,HCHL,6/24/2025
139,AMRZ,6/23/2025
140,CRAQ,6/23/2025
141,GTEN,6/23/2025
142,LCCC,6/23/2025
143,RDAG,6/23/2025
144,CHPG,6/20/2025
145,PMTR,6/20/2025
146,CAI,6/18/2025
147,EGG,6/18/2025
148,SLDE,6/18/2025
149,MENS,6/17/2025
150,IPCX,6/16/2025
151,NPAC,6/16/2025
152,AIRO,6/13/2025
153,JBS,6/13/2025
154,CHYM,6/12/2025
155,IPOD,6/12/2025
156,OTF,6/12/2025
157,PELI,6/12/2025
158,VNTG,6/12/2025
159,ASIC,6/11/2025
160,VOYG,6/11/2025
161,BRR,6/9/2025
162,JEM,6/9/2025
163,RTAC,6/9/2025
164,SDHI,6/9/2025
165,TGE,6/9/2025
166,OMDA,6/6/2025
167,CRCL,6/5/2025
168,TACO,6/5/2025
169,COPL,6/2/2025
170,DAAQ,6/2/2025
171,RAAQ,6/2/2025
172,TACH,6/2/2025
173,PTNM,5/30/2025
174,UYSC,5/27/2025
175,FTRK,5/23/2025
176,SOUL,5/23/2025
177,SZZL,5/23/2025
178,HNGE,5/22/2025
179,MNTN,5/22/2025
180,OFAL,5/21/2025
181,CHAC,5/19/2025
182,TVA,5/16/2025
183,ARAI,5/15/2025
184,ANTA,5/14/2025
185,ETOR,5/14/2025
186,OMSE,5/13/2025
187,GSHR,5/12/2025
188,QSEA,5/12/2025
189,APUS,5/9/2025
190,AHL,5/8/2025
191,AII,5/8/2025
192,STRZ,5/7/2025
193,CEPT,5/2/2025
194,SDM,5/2/2025
195,WSBK,5/2/2025
196,CMDB,5/1/2025
197,YB,4/30/2025
198,PHOE,4/25/2025
199,CIGL,4/22/2025
200,PFAI,4/22/2025
