No.,Ticker,IPO Date
1,SCPQU,12/23/2025
2,SVAQU,12/23/2025
3,IGAC,12/22/2025
4,BEBE-U,12/19/2025
5,ADACU,12/18/2025
6,FJET,12/18/2025
7,LPCVU,12/18/2025
8,VHCPU,12/18/2025
9,ANDG,12/17/2025
10,BIXI,12/17/2025
11,CCXIU,12/17/2025
12,IRHOU,12/17/2025
13,MDLN,12/17/2025
14,CRANU,12/16/2025
15,VSNTV,12/16/2025
16,CMCSV,12/15/2025
17,HAVA,12/15/2025
18,MMTX,12/15/2025
19,ITHAU,12/12/2025
20,TWLVU,12/12/2025
21,WLTH,12/12/2025
22,BLRKU,12/11/2025
23,KBONU,12/11/2025
24,LMRI,12/11/2025
25,CDNL,12/10/2025
26,JMG,12/10/2025
27,MESHU,12/10/2025
28,CRAC,12/9/2025
29,DSACU,12/9/2025
30,MICC,12/8/2025
31,TDWD,12/8/2025
32,LFACU,12/5/2025
33,AEAQU,12/4/2025
34,HYNE,12/4/2025
35,NWAX-U,12/4/2025
36,RGNT,12/4/2025
37,SAC-U,12/4/2025
38,SMJF,12/4/2025
39,DMII,12/3/2025
40,EVOX,12/3/2025
41,GPACU,12/3/2025
42,PARK,12/3/2025
43,PURR,12/3/2025
44,SBXE-U,12/3/2025
45,LAFA,11/26/2025
46,SCIIU,11/26/2025
47,AIIA,11/24/2025
48,RNGT,11/24/2025
49,APAC,11/21/2025
50,HCACU,11/21/2025
51,KRSP,11/21/2025
52,BCSS,11/20/2025
53,CBC,11/20/2025
54,VACI,11/20/2025
55,ALIS,11/19/2025
56,DNMX,11/19/2025
57,GLOO,11/19/2025
58,DYOR,11/18/2025
59,APXT,11/17/2025
60,FCRS,11/17/2025
61,WSHP,11/14/2025
62,ALUB-U,11/13/2025
63,CABR,11/13/2025
64,OTH,11/13/2025
65,POAS,11/13/2025
66,BPACU,11/12/2025
67,CHEC,11/11/2025
68,LATA,11/10/2025
69,AERO,11/6/2025
70,BLLN,11/6/2025
71,EVMN,11/6/2025
72,LKSP,11/6/2025
73,SUNC,11/6/2025
74,ELWT,11/5/2025
75,MEHA,11/5/2025
76,XZO,11/5/2025
77,BETA,11/4/2025
78,CEPV,11/4/2025
79,WSTNU,11/4/2025
80,OTGA,11/3/2025
81,Q,11/3/2025
82,BGSI,10/31/2025
83,BLZR,10/31/2025
84,NOMA,10/31/2025
85,NAVN,10/30/2025
86,YCY,10/29/2025
87,GIW,10/27/2025
88,MPLT,10/27/2025
89,AGCC,10/22/2025
90,EMIS,10/22/2025
91,NPT,10/22/2025
92,AHMA,10/21/2025
93,BGIN,10/21/2025
94,GSRF,10/20/2025
95,SOLS,10/20/2025
96,ACCL,10/17/2025
97,MBVI,10/17/2025
98,BDCI,10/16/2025
99,OWLS,10/16/2025
100,SEV,10/16/2025
101,SLGB,10/15/2025
102,TCGL,10/15/2025
103,RPGL,10/14/2025
104,NKLR,10/10/2025
105,ALH,10/9/2025
106,LFS,10/9/2025
107,PXED,10/9/2025
108,YDDL,10/9/2025
109,POM,10/8/2025
110,TLNC,10/8/2025
111,TTRX,10/8/2025
112,CCHH,10/3/2025
113,CBK,10/2/2025
114,HVMC,10/2/2025
115,MKLY,10/2/2025
116,SSEA,10/2/2025
117,AGRZ,10/1/2025
118,FRMI,10/1/2025
119,NP,10/1/2025
120,YCY-U,10/1/2025
121,QUMS,9/30/2025
122,SVAC,9/30/2025
123,KNRX,9/29/2025
124,AEXA,9/26/2025
125,MGN,9/26/2025
126,HCMA,9/22/2025
127,BRBI,9/19/2025
128,KOYN,9/19/2025
129,PTRN,9/19/2025
130,NTSK,9/18/2025
131,STUB,9/17/2025
132,WBI,9/17/2025
133,CHOW,9/16/2025
134,MLCI,9/15/2025
135,BRCB,9/12/2025
136,FOFO,9/12/2025
137,GEMI,9/12/2025
138,LGN,9/12/2025
139,ONCH,9/12/2025
140,VIA,9/12/2025
141,FIGR,9/11/2025
142,LBRX,9/11/2025
143,KLAR,9/10/2025
144,PAII,9/10/2025
145,ORIQ,9/9/2025
146,SPEG,9/9/2025
147,ZGM,9/9/2025
148,SOCA,9/5/2025
149,FCHL,9/4/2025
150,NMP,9/3/2025
151,ELVR,9/2/2025
152,PMI,8/29/2025
153,ELOG,8/28/2025
154,TGHL,8/28/2025
155,THH,8/28/2025
156,APAD,8/27/2025
157,CURX,8/26/2025
158,CCII,8/22/2025
159,EVAC,8/22/2025
160,VNME,8/22/2025
161,CEPF,8/21/2025
162,ETS,8/21/2025
163,BCAR,8/20/2025
164,YMT,8/19/2025
165,FIGX,8/18/2025
166,LWAC,8/15/2025
167,OBA,8/15/2025
168,PACH,8/15/2025
169,BUUU,8/14/2025
170,MIAX,8/14/2025
171,RYOJ,8/14/2025
172,BLSH,8/13/2025
173,NSRX,8/13/2025
174,DKI,8/8/2025
175,HTFL,8/8/2025
176,BSAA,8/7/2025
177,CFND,8/7/2025
178,FLY,8/7/2025
179,WYFI,8/7/2025
180,CTW,8/6/2025
181,BACC,8/4/2025
182,RUBI,8/4/2025
183,AVBC,8/1/2025
184,AXIN,8/1/2025
185,BLUW,7/31/2025
186,FIG,7/31/2025
187,SI,7/31/2025
188,AMBQ,7/30/2025
189,INAC,7/30/2025
190,YMAT,7/30/2025
191,GTERA,7/25/2025
192,MCGA,7/25/2025
193,STRC,7/25/2025
194,ARX,7/24/2025
195,LHAI,7/24/2025
196,MH,7/24/2025
197,CARL,7/23/2025
198,CRE,7/23/2025
199,TDIC,7/23/2025
200,JENA,7/21/2025
201,KCHV,7/21/2025
